Description: Platz für 384 Zeichen Notizen                  
Serialnumber : 080061320792
Logging Method: MomentValues
MeasureInterval:01 hour  StorageInterval: 03:00:00 Readings: 1
Date	Time	Temperature   [°C]	rel.Humidity   [%]	
25.02.15	18:00:00	   5.17949	   84.5788	
25.02.15	19:00:00	   3.47985	   87.8785	
25.02.15	20:00:00	   1.13797	   91.6392	
25.02.15	21:00:00	   0.32967	   93.4386	
25.02.15	22:00:00	 -0.161172	   86.7186	
25.02.15	23:00:00	  -1.37241	   70.1893	
26.02.15	00:00:00	 -0.322345	   65.3388	
26.02.15	01:00:00	 -0.561661	   73.0693	
26.02.15	02:00:00	 -0.852259	   71.7796	
26.02.15	03:00:00	 -0.891331	   68.6187	
26.02.15	04:00:00	 -0.771673	   67.8785	
26.02.15	05:00:00	 -0.730159	   65.7097	
26.02.15	06:00:00	 -0.561661	   70.9386	
26.02.15	07:00:00	 -0.561661	   68.0586	
26.02.15	08:00:00	-2.37022e-07	    67.529	
26.02.15	09:00:00	    0.4884	   71.7796	
26.02.15	10:00:00	   9.37973	   61.1493	
26.02.15	11:00:00	   15.0989	   52.8785	
26.02.15	12:00:00	   12.8376	     60.87	
26.02.15	13:00:00	   12.3199	   66.6499	
26.02.15	14:00:00	   14.1294	   57.4695	
26.02.15	15:00:00	   12.0391	   62.7289	
26.02.15	16:00:00	   12.0391	    63.869	
26.02.15	17:00:00	   9.61905	   61.4194	
26.02.15	18:00:00	    12.398	   48.6996	
26.02.15	19:00:00	   7.11844	   61.1187	
26.02.15	20:00:00	   1.45788	   80.4289	
26.02.15	21:00:00	   1.13797	   63.3089	
26.02.15	22:00:00	 0.0390718	   48.8996	
26.02.15	23:00:00	  -1.09158	   62.2985	
27.02.15	00:00:00	   1.49939	   45.5693	
27.02.15	01:00:00	  0.727717	   41.1691	
27.02.15	02:00:00	 -0.891331	   51.4499	
27.02.15	03:00:00	 -0.561661	   47.0986	
27.02.15	04:00:00	  -1.70208	    52.529	
27.02.15	05:00:00	  -1.29182	   42.6893	
27.02.15	06:00:00	 -0.520147	   39.1987	
27.02.15	07:00:00	 -0.400489	   40.3694	
27.02.15	08:00:00	  0.529914	   41.0592	
27.02.15	09:00:00	   0.32967	   58.0098	
27.02.15	10:00:00	   12.1197	   50.8089	
27.02.15	11:00:00	   18.4396	    42.439	
27.02.15	12:00:00	   13.2479	     59.33	
27.02.15	13:00:00	   10.0977	   71.1691	
27.02.15	14:00:00	   7.96825	   82.1993	
27.02.15	15:00:00	   9.97802	   72.9991	
27.02.15	16:00:00	   9.77778	   70.9096	
27.02.15	17:00:00	   10.8694	   66.2698	
27.02.15	18:00:00	   7.43834	   76.5888	
27.02.15	19:00:00	   6.18803	   82.0589	
27.02.15	20:00:00	   2.62759	   88.8599	
27.02.15	21:00:00	   1.49939	   78.3593	
27.02.15	22:00:00	  0.849817	   59.0095	
27.02.15	23:00:00	  0.407814	   65.2793	
28.02.15	00:00:00	  0.888889	   48.9591	
28.02.15	01:00:00	  0.407814	   58.7088	
28.02.15	02:00:00	  0.249084	     55.58	
28.02.15	03:00:00	 -0.361417	   56.8895	
28.02.15	04:00:00	-2.37022e-07	   49.7589	
28.02.15	05:00:00	  -1.05006	   54.8886	
28.02.15	06:00:00	  -1.21123	   56.4087	
28.02.15	07:00:00	 -0.400489	   51.0791	
28.02.15	08:00:00	-0.0805863	    58.489	
28.02.15	09:00:00	  0.727717	   66.1798	
28.02.15	10:00:00	    12.359	   49.0598	
28.02.15	11:00:00	     15.58	    48.869	
28.02.15	12:00:00	   10.5885	   73.0098	
28.02.15	13:00:00	   9.08913	     74.04	
28.02.15	14:00:00	   10.4298	   66.4194	
28.02.15	15:00:00	   9.65812	     68.37	
28.02.15	16:00:00	   9.29915	   68.0693	
28.02.15	17:00:00	   10.1783	   62.5595	
28.02.15	18:00:00	   7.59951	   72.0192	
28.02.15	19:00:00	   5.98779	   73.4386	
28.02.15	20:00:00	   2.50794	   85.9493	
28.02.15	21:00:00	   1.49939	   84.7894	
28.02.15	22:00:00	   1.61905	   75.8089	
28.02.15	23:00:00	   1.37973	   61.4591	
01.03.15	00:00:00	   2.34921	   64.1499	
01.03.15	01:00:00	   2.06838	     60.87	
01.03.15	02:00:00	   1.37973	   63.0189	
01.03.15	03:00:00	   2.10989	   55.1389	
01.03.15	04:00:00	   1.81929	   59.3391	
01.03.15	05:00:00	   1.33822	   65.1694	
01.03.15	06:00:00	   1.13797	   72.8587	
01.03.15	07:00:00	   1.37973	   57.5992	
01.03.15	08:00:00	   3.39927	   51.6896	
01.03.15	09:00:00	   6.06838	   58.6187	
01.03.15	10:00:00	   12.1197	   54.1499	
01.03.15	11:00:00	   18.7595	   37.4695	
01.03.15	12:00:00	   22.1294	   41.8895	
01.03.15	13:00:00	   20.3199	    42.529	
01.03.15	14:00:00	   16.2198	   53.3089	
01.03.15	15:00:00	   14.2076	   60.4991	
01.03.15	16:00:00	   20.5299	   40.5098	
01.03.15	17:00:00	    16.989	     53.08	
01.03.15	18:00:00	   10.8278	   32.9396	
01.03.15	19:00:00	   5.61905	    58.689	
01.03.15	20:00:00	   4.12943	   67.2497	
01.03.15	21:00:00	   3.27961	   71.5491	
01.03.15	22:00:00	   2.54945	   79.4093	
01.03.15	23:00:00	   1.53846	   83.7195	
02.03.15	00:00:00	    2.0293	   84.2491	
02.03.15	01:00:00	   1.53846	        85	
02.03.15	02:00:00	   1.04762	     85.29	
02.03.15	03:00:00	   1.25763	   80.7189	
02.03.15	04:00:00	   1.85836	   73.3288	
02.03.15	05:00:00	   2.38828	    73.199	
02.03.15	06:00:00	   3.07936	   69.1392	
02.03.15	07:00:00	   3.47985	   59.7299	
02.03.15	08:00:00	   2.78877	   68.9499	
02.03.15	09:00:00	   4.04884	   77.3687	
02.03.15	10:00:00	   10.5079	   76.2698	
02.03.15	11:00:00	   18.5592	      47.5	
02.03.15	12:00:00	   21.2088	   42.6587	
02.03.15	13:00:00	   16.7082	   53.8996	
02.03.15	14:00:00	   11.5897	   72.5885	
02.03.15	15:00:00	   9.81929	    84.939	
02.03.15	16:00:00	   7.15995	    89.359	
02.03.15	17:00:00	   8.40781	    91.369	
02.03.15	18:00:00	    8.8083	   84.3895	
02.03.15	19:00:00	   4.36874	   79.8687	
02.03.15	20:00:00	   2.26862	   71.4591	
02.03.15	21:00:00	   1.13797	   83.5195	
02.03.15	22:00:00	   1.37973	   75.1999	
02.03.15	23:00:00	   2.06838	   76.3599	
03.03.15	00:00:00	   1.93895	   73.6996	
03.03.15	01:00:00	   1.69963	   73.1395	
03.03.15	02:00:00	   1.69963	   68.0998	
03.03.15	03:00:00	   1.53846	   68.8996	
03.03.15	04:00:00	   1.29915	   69.2888	
03.03.15	05:00:00	   1.65812	   62.4496	
03.03.15	06:00:00	   1.61905	    59.939	
03.03.15	07:00:00	    2.0293	     58.37	
03.03.15	08:00:00	   1.93895	   64.7192	
03.03.15	09:00:00	   2.82784	   67.4298	
03.03.15	10:00:00	    12.359	   59.3391	
03.03.15	11:00:00	   16.3883	   62.3993	
03.03.15	12:00:00	   16.8694	   56.0394	
03.03.15	13:00:00	   16.3492	   53.6996	
03.03.15	14:00:00	   13.4481	   74.3086	
03.03.15	15:00:00	   9.93895	   80.2793	
03.03.15	16:00:00	   10.3492	   76.7888	
03.03.15	17:00:00	   8.96948	   83.4188	
03.03.15	18:00:00	   7.83883	   80.4899	
03.03.15	19:00:00	   4.28816	   86.3385	
03.03.15	20:00:00	   1.04762	   73.7286	
03.03.15	21:00:00	 0.0781438	   51.6789	
03.03.15	22:00:00	  0.769231	   38.7897	
03.03.15	23:00:00	  0.688644	   60.6899	
04.03.15	00:00:00	   1.69963	   51.9994	
04.03.15	01:00:00	   1.57998	      47.5	
04.03.15	02:00:00	   1.45788	   43.1487	
04.03.15	03:00:00	   1.04762	   41.0897	
04.03.15	04:00:00	   0.15873	   51.0989	
04.03.15	05:00:00	 -0.161172	   53.5089	
04.03.15	06:00:00	 0.0781438	   47.0391	
04.03.15	07:00:00	   1.13797	   43.5897	
04.03.15	08:00:00	   1.04762	    46.659	
04.03.15	09:00:00	   1.61905	   59.1087	
04.03.15	10:00:00	   14.0879	   46.6499	
04.03.15	11:00:00	   12.7179	   64.1392	
04.03.15	12:00:00	   11.2283	   67.2299	
04.03.15	13:00:00	   11.6288	   73.4997	
04.03.15	14:00:00	   9.69963	   73.7195	
04.03.15	15:00:00	   13.2479	     58.08	
04.03.15	16:00:00	   16.8694	   45.6792	
04.03.15	17:00:00	   15.8193	   46.3996	
04.03.15	18:00:00	    8.1685	   72.1291	
04.03.15	19:00:00	    5.4188	    74.939	
04.03.15	20:00:00	   2.34921	   86.0699	
04.03.15	21:00:00	  0.808303	   77.7091	
04.03.15	22:00:00	   2.42979	   32.1886	
04.03.15	23:00:00	   1.77778	   39.1789	
05.03.15	00:00:00	   1.53846	   37.3291	
05.03.15	01:00:00	   1.93895	   53.0998	
05.03.15	02:00:00	   2.18803	   57.0986	
05.03.15	03:00:00	   1.45788	   63.8187	
05.03.15	04:00:00	   1.13797	   68.8797	
05.03.15	05:00:00	    2.0293	   72.9899	
05.03.15	06:00:00	   2.66911	   62.9594	
05.03.15	07:00:00	   3.19902	   47.8388	
05.03.15	08:00:00	   4.36874	   50.0092	
05.03.15	09:00:00	   6.87912	   48.9087	
05.03.15	10:00:00	   13.6899	     43.66	
05.03.15	11:00:00	    19.199	   37.9686	
05.03.15	12:00:00	   18.1099	   43.4493	
05.03.15	13:00:00	   18.0684	   48.7592	
05.03.15	14:00:00	   16.3077	   54.8886	
05.03.15	15:00:00	   14.1685	   58.9393	
05.03.15	16:00:00	   11.7998	   63.0098	
05.03.15	17:00:00	   13.2894	   57.4588	
05.03.15	18:00:00	   7.83883	   69.2399	
05.03.15	19:00:00	   2.70818	   78.6294	
05.03.15	20:00:00	   2.26862	   67.5488	
05.03.15	21:00:00	   1.93895	   69.0888	
05.03.15	22:00:00	   1.61905	     53.37	
05.03.15	23:00:00	   1.49939	   38.9286	
06.03.15	00:00:00	   1.77778	   37.5397	
06.03.15	01:00:00	   1.85836	   34.4994	
06.03.15	02:00:00	   1.29915	   38.1685	
06.03.15	03:00:00	   0.32967	   42.0986	
06.03.15	04:00:00	 -0.400489	   45.3297	
06.03.15	05:00:00	 -0.241758	   44.9893	
06.03.15	06:00:00	 -0.322345	   37.9899	
06.03.15	07:00:00	  0.249084	   35.1786	
06.03.15	08:00:00	   1.00855	   42.3291	
06.03.15	09:00:00	    1.4188	   67.2192	
06.03.15	10:00:00	   12.0781	   51.0791	
06.03.15	11:00:00	   16.3492	   48.3196	
06.03.15	12:00:00	   17.7094	   45.1893	
06.03.15	13:00:00	   12.7985	   66.3599	
06.03.15	14:00:00	   9.53846	    71.279	
06.03.15	15:00:00	   11.9194	   62.8892	
06.03.15	16:00:00	   8.32967	   72.7488	
06.03.15	17:00:00	   8.32967	   73.2799	
06.03.15	18:00:00	   11.3089	   66.4698	
06.03.15	19:00:00	   7.19902	    64.069	
06.03.15	20:00:00	   1.45788	   62.2985	
06.03.15	21:00:00	  0.969475	   63.4295	
06.03.15	22:00:00	   1.13797	   38.1487	
06.03.15	23:00:00	   1.93895	   34.5391	
07.03.15	00:00:00	   1.04762	   53.6096	
07.03.15	01:00:00	   0.32967	   63.5089	
07.03.15	02:00:00	  0.888889	   66.1493	
07.03.15	03:00:00	   1.13797	   66.0791	
07.03.15	04:00:00	 -0.481075	   72.8785	
