Meﬂstellenbeschreibung:fer0-wind2m
Logger Seriennummer   :080011765888
Logging Methode: Augenblickswerte
Messintervall: 20 min Speicherintervall: 02:20:00 Messungen: 1
Datum	Zeit	  1.Temperatur    [∞C]	  2.rel.Feuchte    [%]	  3.Windrichtg [deg]	  4.Windgeschwind [m/s]	  5.Frequenz      [Hz]	  5.Windgeschwindig [m/s]	
03.01.20	18:00:00	   6,87912	   93,2998	   209,692	0,00160256	2,32831e-10	2,91038e-10	
03.01.20	18:20:00	   6,46886	   94,1499	   286,643	1,27329e-10	2,32831e-10	2,91038e-10	
03.01.20	18:40:00	   5,94872	   93,4096	   231,648	1,27329e-10	2,32831e-10	2,91038e-10	
03.01.20	19:00:00	   5,65812	   95,7692	   235,291	1,27329e-10	2,32831e-10	2,91038e-10	
03.01.20	19:20:00	    5,4188	    95,409	    265,17	1,27329e-10	2,32831e-10	2,91038e-10	
03.01.20	19:40:00	   5,13797	   95,7295	   238,291	0,000534188	2,32831e-10	2,91038e-10	
03.01.20	20:00:00	   5,05983	   97,3199	   161,396	1,27329e-10	2,32831e-10	2,91038e-10	
03.01.20	20:20:00	   4,93773	   97,4786	   107,022	1,27329e-10	2,32831e-10	2,91038e-10	
03.01.20	20:40:00	   4,93773	   97,9197	   262,764	1,27329e-10	2,32831e-10	2,91038e-10	
03.01.20	21:00:00	   4,89866	    96,369	   51,2692	1,27329e-10	2,32831e-10	2,91038e-10	
03.01.20	21:20:00	   4,97924	   98,3196	   301,841	1,27329e-10	2,32831e-10	2,91038e-10	
03.01.20	21:40:00	   4,93773	   98,8492	   296,731	1,27329e-10	2,32831e-10	2,91038e-10	
03.01.20	22:00:00	   4,89866	   98,8294	   231,632	1,27329e-10	2,32831e-10	2,91038e-10	
03.01.20	22:20:00	   4,76923	   98,9194	   346,363	1,27329e-10	2,32831e-10	2,91038e-10	
03.01.20	22:40:00	   4,76923	   99,3788	   227,275	1,27329e-10	2,32831e-10	2,91038e-10	
03.01.20	23:00:00	   4,60806	   99,3788	    325,44	1,27329e-10	2,32831e-10	2,91038e-10	
03.01.20	23:20:00	   4,56899	   99,6093	   19,2088	1,27329e-10	2,32831e-10	2,91038e-10	
03.01.20	23:40:00	   4,60806	   99,8596	   223,473	1,27329e-10	2,32831e-10	2,91038e-10	
04.01.20	00:00:00	   4,52991	    99,739	    312,72	1,27329e-10	2,32831e-10	2,91038e-10	
04.01.20	00:20:00	   4,28816	   99,6291	   271,275	1,27329e-10	2,32831e-10	2,91038e-10	
04.01.20	00:40:00	   4,20757	   99,7985	   219,099	1,27329e-10	2,32831e-10	2,91038e-10	
04.01.20	01:00:00	   4,20757	    99,939	   346,335	1,27329e-10	2,32831e-10	2,91038e-10	
04.01.20	01:20:00	   4,24908	       100	   204,181	1,27329e-10	2,32831e-10	2,91038e-10	
04.01.20	01:40:00	   4,24908	       100	   355,566	0,00480769	2,32831e-10	2,91038e-10	
04.01.20	02:00:00	   4,28816	       100	   158,374	1,27329e-10	2,32831e-10	2,91038e-10	
04.01.20	02:20:00	   4,24908	       100	   98,6868	1,27329e-10	2,32831e-10	2,91038e-10	
04.01.20	02:40:00	   4,28816	       100	   326,341	1,27329e-10	2,32831e-10	2,91038e-10	
04.01.20	03:00:00	   4,24908	       100	   314,511	1,27329e-10	2,32831e-10	2,91038e-10	
04.01.20	03:20:00	    4,1685	       100	   224,269	1,27329e-10	2,32831e-10	2,91038e-10	
04.01.20	03:40:00	   4,12943	       100	   261,797	1,27329e-10	2,32831e-10	2,91038e-10	
04.01.20	04:00:00	   4,04884	       100	   294,055	0,00641026	2,32831e-10	2,91038e-10	
04.01.20	04:20:00	   3,88767	   99,7985	   3,52747	1,27329e-10	2,32831e-10	2,91038e-10	
04.01.20	04:40:00	   3,71917	   99,8993	   288,137	1,27329e-10	2,32831e-10	2,91038e-10	
04.01.20	05:00:00	   3,75824	       100	       360	1,27329e-10	2,32831e-10	2,91038e-10	
04.01.20	05:20:00	   3,63858	       100	   43,0989	1,27329e-10	2,32831e-10	2,91038e-10	
04.01.20	05:40:00	     3,558	   99,5085	   206,143	1,27329e-10	2,32831e-10	2,91038e-10	
04.01.20	06:00:00	   3,59951	       100	   279,379	1,27329e-10	2,32831e-10	2,91038e-10	
04.01.20	06:20:00	   3,59951	       100	    270,17	1,27329e-10	2,32831e-10	2,91038e-10	
04.01.20	06:40:00	     3,558	       100	   272,044	1,27329e-10	2,32831e-10	2,91038e-10	
04.01.20	07:00:00	   3,39927	   99,5192	   3,81868	1,27329e-10	2,32831e-10	2,91038e-10	
04.01.20	07:20:00	   3,27961	   99,5299	    262,72	1,27329e-10	2,32831e-10	2,91038e-10	
04.01.20	07:40:00	   3,43834	       100	   244,385	1,27329e-10	2,32831e-10	2,91038e-10	
04.01.20	08:00:00	   3,63858	   98,9591	   76,8242	1,27329e-10	2,32831e-10	2,91038e-10	
04.01.20	08:20:00	   4,44933	       100	   229,802	1,27329e-10	2,32831e-10	2,91038e-10	
04.01.20	08:40:00	   4,52991	   98,8294	   242,747	1,27329e-10	2,32831e-10	2,91038e-10	
04.01.20	09:00:00	    5,0989	   97,3794	   242,681	1,27329e-10	2,32831e-10	2,91038e-10	
04.01.20	09:20:00	   5,90965	   96,8193	   182,286	1,27329e-10	2,32831e-10	2,91038e-10	
04.01.20	09:40:00	   5,77778	   95,7799	   217,082	0,00160256	2,32831e-10	2,91038e-10	
04.01.20	10:00:00	   6,66911	   96,3889	   235,286	0,00534188	2,32831e-10	2,91038e-10	
04.01.20	10:20:00	   7,11844	   93,7698	   250,786	0,00106838	2,32831e-10	2,91038e-10	
04.01.20	10:40:00	   7,79976	    89,159	   257,352	0,00160256	2,32831e-10	2,91038e-10	
04.01.20	11:00:00	   7,67766	   93,3089	   255,698	0,00160256	2,32831e-10	2,91038e-10	
04.01.20	11:20:00	   7,47985	   92,1993	   186,582	0,00106838	2,32831e-10	2,91038e-10	
04.01.20	11:40:00	   7,43834	   92,1398	   274,934	1,27329e-10	2,32831e-10	2,91038e-10	
04.01.20	12:00:00	   7,11844	   94,1697	   185,049	0,00747863	2,32831e-10	2,91038e-10	
04.01.20	12:20:00	   6,38828	   94,9191	   280,396	0,000534188	2,32831e-10	2,91038e-10	
04.01.20	12:40:00	   6,22955	   97,0085	   255,665	1,27329e-10	2,32831e-10	2,91038e-10	
04.01.20	13:00:00	   6,14896	   97,2299	   261,341	0,00213675	2,32831e-10	2,91038e-10	
04.01.20	13:20:00	   6,10989	   97,5687	   234,396	0,00320513	2,32831e-10	2,91038e-10	
04.01.20	13:40:00	   5,86813	   98,1288	   262,714	0,00160256	2,32831e-10	2,91038e-10	
04.01.20	14:00:00	   5,73871	   97,6587	   211,297	1,27329e-10	2,32831e-10	2,91038e-10	
04.01.20	14:20:00	   5,53846	   98,1899	   225,236	 0,0181624	2,32831e-10	2,91038e-10	
04.01.20	14:40:00	    5,4188	   98,0586	   198,714	1,27329e-10	2,32831e-10	2,91038e-10	
04.01.20	15:00:00	   5,21856	   98,2891	   241,764	1,27329e-10	2,32831e-10	2,91038e-10	
04.01.20	15:20:00	   5,17949	   98,2295	   288,192	1,27329e-10	2,32831e-10	2,91038e-10	
04.01.20	15:40:00	   5,25763	   98,2799	   194,143	1,27329e-10	2,32831e-10	2,91038e-10	
04.01.20	16:00:00	   5,29915	   98,6096	   210,593	1,27329e-10	2,32831e-10	2,91038e-10	
04.01.20	16:20:00	   5,37973	   98,7286	  0,752747	1,27329e-10	2,32831e-10	2,91038e-10	
04.01.20	16:40:00	   5,49939	   98,6691	   173,077	1,27329e-10	2,32831e-10	2,91038e-10	
04.01.20	17:00:00	    5,4188	   99,6596	    238,78	0,00267094	2,32831e-10	2,91038e-10	
04.01.20	17:20:00	   5,61905	     99,91	   272,505	0,00373932	2,32831e-10	2,91038e-10	
04.01.20	17:40:00	   5,65812	   99,4399	   245,434	1,27329e-10	2,32831e-10	2,91038e-10	
04.01.20	18:00:00	   5,73871	   99,6596	   185,863	1,27329e-10	2,32831e-10	2,91038e-10	
04.01.20	18:20:00	   5,82906	   99,1896	   204,462	0,00747863	2,32831e-10	2,91038e-10	
04.01.20	18:40:00	   5,57998	   98,8797	   290,154	0,00373932	2,32831e-10	2,91038e-10	
04.01.20	19:00:00	   5,17949	   98,5287	    279,94	1,27329e-10	2,32831e-10	2,91038e-10	
04.01.20	19:20:00	   4,89866	   98,5394	   163,423	0,00160256	2,32831e-10	2,91038e-10	
04.01.20	19:40:00	   4,76923	   97,4893	   308,148	1,27329e-10	2,32831e-10	2,91038e-10	
04.01.20	20:00:00	   4,56899	   97,7686	   19,1813	0,000534188	2,32831e-10	2,91038e-10	
04.01.20	20:20:00	   4,36874	   97,4191	   11,8352	1,27329e-10	2,32831e-10	2,91038e-10	
