Description: fer0_pu2
Serialnumber : 080081025294
Logging Method: MomentValues
MeasureInterval:05 min  StorageInterval: 02:05:00 Readings: 1
Date	Time	Impulses        []	Impulses        []	
23.11.17	15:05:00	         0	         0	
23.11.17	15:10:00	         1	         1	
23.11.17	15:15:00	         0	         3	
23.11.17	15:20:00	         1	         1	
23.11.17	15:25:00	         1	         1	
23.11.17	15:30:00	         1	         1	
23.11.17	15:35:00	         1	         2	
23.11.17	15:40:00	         1	         0	
23.11.17	15:45:00	         1	         1	
23.11.17	15:50:00	         0	         0	
23.11.17	15:55:00	         0	         0	
23.11.17	16:00:00	         1	         1	
23.11.17	16:05:00	         0	         0	
23.11.17	16:10:00	         0	         0	
23.11.17	16:15:00	         0	         0	
23.11.17	16:20:00	         1	         0	
23.11.17	16:25:00	         0	         0	
23.11.17	16:30:00	         0	         0	
23.11.17	16:35:00	         0	         0	
23.11.17	16:40:00	         0	         0	
23.11.17	16:45:00	         0	         0	
23.11.17	16:50:00	         0	         0	
23.11.17	16:55:00	         0	         0	
23.11.17	17:00:00	         0	         0	
23.11.17	17:05:00	         0	         0	
23.11.17	17:10:00	         0	         0	
23.11.17	17:15:00	         1	         0	
23.11.17	17:20:00	         0	         0	
23.11.17	17:25:00	         0	         0	
23.11.17	17:30:00	         0	         0	
23.11.17	17:35:00	         0	         0	
23.11.17	17:40:00	         0	         0	
23.11.17	17:45:00	         0	         0	
23.11.17	17:50:00	         0	         0	
23.11.17	17:55:00	         0	         0	
23.11.17	18:00:00	         0	         0	
23.11.17	18:05:00	         0	         0	
23.11.17	18:10:00	         0	         0	
23.11.17	18:15:00	         0	         0	
23.11.17	18:20:00	         0	         1	
23.11.17	18:25:00	         0	         0	
23.11.17	18:30:00	         0	         0	
23.11.17	18:35:00	         0	         0	
23.11.17	18:40:00	         0	         0	
23.11.17	18:45:00	         0	         0	
23.11.17	18:50:00	         0	         0	
23.11.17	18:55:00	         0	         0	
23.11.17	19:00:00	         0	         0	
